Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (kt)
Royal Canadian Mounted Police,2005-06,facilities,1,natural gas,364005.5662,17.84913191
Royal Canadian Mounted Police,2005-06,fleet,1,gasoline,61532.03857,4.072981354
Royal Canadian Mounted Police,2005-06,facilities,1,liquified petroleum gas,28521.67684,1.74025282
Royal Canadian Mounted Police,2005-06,fleet,1,liquified petroleum gas,11.72186053,0.00071338
Shared Services Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",230.3362045,0.016171732
Shared Services Canada,2005-06,facilities,2,electricity,19966.27991,1.275623276
Shared Services Canada,2005-06,facilities,1,natural gas,1105.292816,0.054163048
Transport Canada,2005-06,fleet,1,aviation fuel,2472.183365,0.180542416
Transport Canada,2005-06,fleet,1,aviation fuel,194238.1631,13.3959679
Transport Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4631.082083,3.25E-01
Transport Canada,2005-06,fleet,1,natural gas,0.040096256,2.27E-06
Transport Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",574788.7157,40.58502975
Transport Canada,2005-06,facilities,2,electricity,123188.7554,3.821650245
Transport Canada,2005-06,fleet,1,fuels with renewable content,94.22913218,0.001324644
Transport Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",18830.17001,1.340409026
Transport Canada,2005-06,facilities,1,natural gas,22114.61886,1.088072033
Transport Canada,2005-06,fleet,1,gasoline,26948.36126,1.786732693
Transport Canada,2005-06,facilities,1,liquified petroleum gas,5102.520384,0.311330838
Transport Canada,2005-06,fleet,1,liquified petroleum gas,2032.823227,0.123715449
Agriculture and Agri-Food Canada,2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",43348.97408,3.085821299
Agriculture and Agri-Food Canada,2010-11,facilities,1,Liquified petroleum gas,1041.673546,0.06354579
Agriculture and Agri-Food Canada,2010-11,facilities,1,natural gas,487357.7284,24.29145813
Agriculture and Agri-Food Canada,2010-11,facilities,2,district energy,121579.1206,9.297939279
Agriculture and Agri-Food Canada,2010-11,facilities,2,electricity,469326.7928,46.22879886
Agriculture and Agri-Food Canada,2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",42780.6021,3.017765362
Agriculture and Agri-Food Canada,2010-11,fleet,1,Fuels with renewable content,17497.65114,0.843456248
Agriculture and Agri-Food Canada,2010-11,fleet,1,Gasoline,40747.665,2.611819489
Agriculture and Agri-Food Canada,2010-11,fleet,1,Natural gas,0.029108,1.66E-06
Canada Border Services Agency,2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",9921.7929,0.706869174
Canada Border Services Agency,2010-11,facilities,1,Liquified petroleum gas,2778.86083,0.169520392
Canada Border Services Agency,2010-11,facilities,1,natural gas,41956.2986,2.09123527
Canada Border Services Agency,2010-11,facilities,2,electricity,104926.9932,5.157514731
Canada Border Services Agency,2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",4263.8241,0.303979867
Canada Border Services Agency,2010-11,fleet,1,Fuels with renewable content,6681.681971,0.207171241
Canada Border Services Agency,2010-11,fleet,1,Gasoline,54108.425,3.467577065
Canada Revenue Agency,2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",821.2286,0.058720075
Canada Revenue Agency,2010-11,fleet,1,Fuels with renewable content,1001.07061,0.061295581
Canada Revenue Agency,2010-11,fleet,1,Gasoline,3925.495,0.251568151
Employment and Social Development Canada,2010-11,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",217.97093,0.015564665
Employment and Social Development Canada,2010-11,fleet,1,Fuels with renewable content,473.14837,0.028973728
Employment and Social Development Canada,2010-11,fleet,1,Gasoline,13930.14,0.892722972
Employment and Social Development Canada,2010-11,fleet,1,Liquified petroleum gas,1.7717,0.000107824
Employment and Social Development Canada,2010-11,fleet,1,Natural gas,0.005092,2.90E-07
Environment and Climate Change Canada,2010-11,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",21414.4109,1.5655444
